Date,Bags Picked Up,Location,Attendee Count,lat,lon,Description,URL
2/17/2024,5,Ralston Creek Downtown,5,41.65803667,-91.52878667,We picked up litter along the East Side of the Creek.,
4/14/2024,4,Downtown Litter Pickup,4,41.660375,-91.53301167,https://www.meetup.com/iowa-city-litter-crew/events/300112897/,
4/21/2024,3,South of 6 Litter Pickup,2,41.639734,-91.521068,https://www.meetup.com/iowa-city-litter-crew/events/300113247/?eventOrigin=group_past_events,
6/23/2024,2,Sycamore Mall,2,41.642655,-91.50772833,https://www.meetup.com/iowa-city-litter-crew/events/301693538/?eventOrigin=group_past_events,
8/24/2024,3,Sycamore Mall,4,41.642655,-91.50772833,https://www.meetup.com/iowa-city-litter-crew/events/302376763/?eventOrigin=group_past_events,
9/14/2024,4,Pepperwood Plaza,3,41.64091944,-91.52075278,https://www.meetup.com/iowa-city-litter-crew/events/303145214/?eventOrigin=group_events_list,
10/12/2024,5,Pepperwood Plaza,4,41.64128333,-91.52054167,https://www.meetup.com/iowa-city-litter-crew/events/303588456/,
11/9/2024,4,Pepperwood Plaza,2,41.64128333,-91.52054167,https://www.meetup.com/iowa-city-litter-crew/events/304062940/?eventOrigin=group_calendar,
3/9/2025,8,Pepperwood Plaza,5,41.64128333,-91.52054167,https://www.meetup.com/iowa-city-litter-crew/events/306524461/?eventOrigin=group_events_list,
3/16/2025,15,Whispering Meadows Wetland,3,41.630323,-91.502651,https://www.meetup.com/iowa-city-litter-crew/events/306700738/?eventOrigin=group_events_list,
3/16/2025,13,Whispering Meadows Wetland,3,41.630323,-91.502651,https://www.meetup.com/iowa-city-litter-crew/events/306700738/?eventOrigin=group_events_list,
4/19/2025,5,"310 3rd Ave., Coralville IA",6,41.673523,-91.568909,https://www.meetup.com/iowa-city-litter-crew/events/307015270/?eventOrigin=group_past_events,
6/8/2025,8,Whispering Meadows Wetland,9,41.630323,-91.502651,https://www.meetup.com/iowa-city-litter-crew/events/307809579/?eventOrigin=group_events_list,
7/12/2025,3,South of 6 Litter Pickup,3,41.639734,-91.521068,https://www.meetup.com/iowa-city-litter-crew/events/308583267/?eventOrigin=group_events_list,
8/17/2025,6,Westwinds Trail,8,41.65102778,-91.57521944,https://www.meetup.com/iowa-city-litter-crew/events/310421942/?eventOrigin=group_past_events,
10/5/2025,10,Terry Trueblood,10,41.62701715,-91.53008394,https://www.meetup.com/iowa-city-litter-crew/events/310860787/?eventOrigin=group_upcoming_events,
10/12/2025,10,Pepperwood Plaza,5,41.64091944,-91.52075278,https://www.meetup.com/iowa-city-litter-crew/events/311463742/?eventOrigin=group_calendar,
11/1/2025,13,Ralston Creek Downtown,5,41.65803667,-91.52878667,https://www.meetup.com/iowa-city-litter-crew/events/311506720/?eventOrigin=group_calendar,
11/15/2025,22,Whispering Meadows Wetland,5,41.630323,-91.502651,https://www.meetup.com/iowa-city-litter-crew/events/311657219/?eventOrigin=group_calendar,
